sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship
"B00LGCJR78"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00LH1W30Q"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00LH7FS0M"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00LH8QXO6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LHEQHHI"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LIAPTDE"	"88.82"	"78.82"	"98.82"	"1"	"5"
"B00LIPM004"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LIPM02C"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00LIPM05E"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LIPM07W"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LIPM752"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00LIPM7CA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LJV1BWU"	"72.60"	"62.60"	"82.60"	"0"	"5"
"B00LK0N3US"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B00LKW0Z6G"	"71.68"	"61.68"	"81.68"	"1"	"5"
"B00LL45J1E"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LLIM5L2"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LMIMEUI"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LQ65L92"	"83.84"	"73.84"	"93.84"	"1"	"5"
"B00LRXVQV6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LSS7B1O"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LU14MOI"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LWBWWB6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LWHW30K"	"139.90"	"129.90"	"149.90"	"1"	"5"
"B00LWUZHGE"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LWUZHIW"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LWUZLFG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LWUZOM6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LWUZONA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LXH853S"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00LXHEP7S"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LXHLU08"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LXHSBQE"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LXHW9YO"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LXWIEQG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LY9A8TE"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LY9AQBY"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LY9AT8E"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LY9ATAW"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LY9BAXC"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00LY9BET2"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00LY9BTF6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00M0DPVMW"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00M1WEU9M"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00M1YC0DS"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00M1YC51A"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00M1YC55G"	"95.98"	"85.98"	"105.98"	"1"	"5"
