sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship
"B00J42GIEW"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J4S324U"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J4S32TK"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J4S40N2"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J4S4226"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J4S44DS"	"79.98"	"69.98"	"89.98"	"1"	"5"
"B00J4S47H6"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00J4S5EEG"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00J4S5URM"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J4S6JHW"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00J4T6QWY"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00J4T6TV2"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J4T6ZY8"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J4V8R60"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J4VBL04"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00J4VI652"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J4VI6TS"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J4WRWGA"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00J4X2SSQ"	"71.92"	"61.92"	"81.92"	"1"	"5"
"B00J4XWZ48"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J4Y6HOQ"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00J4ZO88C"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00J4ZWTN8"	"297.98"	"287.98"	"307.98"	"1"	"5"
"B00J50ELPG"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00J57138C"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J5CWNUE"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J5D4YWI"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00J5D66CY"	"72.32"	"62.32"	"82.32"	"0"	"5"
"B00J5D68J0"	"99.98"	"89.98"	"109.98"	"0"	"5"
"B00J5H1H74"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00J5KVQWW"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J5KVR44"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J5KVR8U"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J5KVSS4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J5KVUUK"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00J5L1MNO"	"89.98"	"79.98"	"99.98"	"0"	"5"
"B00J5L1MRA"	"159.90"	"149.90"	"169.90"	"1"	"5"
"B00J5L1OIC"	"359.60"	"349.60"	"369.60"	"1"	"5"
"B00J5L1OOG"	"155.36"	"145.36"	"165.36"	"1"	"5"
"B00J5M3GCS"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00J5M3GQO"	"49.99"	"39.99"	"59.99"	"1"	"5"
