sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship
"B001CNE79E"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B001CNNERA"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001COP1PC"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B001CTL2D2"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B001CTLCUK"	"159.98"	"149.98"	"169.98"	"1"	"5"
"B001CWEGTQ"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001CWOWFO"	"101.90"	"91.90"	"111.90"	"1"	"5"
"B001CZBMK4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001D0WCE8"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B001DAW54A"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B001DAYGGA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001DBFH9E"	"101.66"	"91.66"	"111.66"	"1"	"5"
"B001DDBI1S"	"276.00"	"266.00"	"286.00"	"1"	"5"
"B001DF3KRG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001DLF6C2"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001DMVKB2"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001DQYNVC"	"120.66"	"110.66"	"130.66"	"1"	"5"
"B001DRHLQK"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001DRNI4E"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B001DRQJOA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001E57SD2"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B001E8PPM0"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001E8R1RC"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001E9HPZY"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001EBEO2O"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001EE2F40"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001EKUHZ8"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001EN237A"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001EP393K"	"79.30"	"69.30"	"89.30"	"0"	"5"
"B001EP6BIU"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001EWEQ58"	"199.98"	"189.98"	"209.98"	"1"	"5"
"B001EYDWO2"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001EYE26E"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001EYHHVG"	"69.99"	"59.99"	"79.99"	"0"	"5"
"B001EYTM0K"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001EYUTKM"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001F0GCY2"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001F0GPT4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001F0IKOW"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001F0IVFA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001F0IXWG"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001F31DWK"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001F4S0NY"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001F637SU"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B001F6A1HA"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001F7V8PI"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B001F8RZBI"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001FAT17M"	"69.99"	"59.99"	"79.99"	"0"	"5"
"B001FB5FWG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001FT6KT0"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B001FTSADY"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001G26UVY"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001G61NV2"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B001G6ANK4"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B001G7QOBU"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001G7QQNG"	"72.76"	"62.76"	"82.76"	"1"	"5"
"B001G9D1JG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001GAOHSY"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001GE29YE"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B001GF9M7U"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001GN788M"	"105.00"	"95.00"	"115.00"	"0"	"5"
"B001GNYESY"	"147.98"	"137.98"	"157.98"	"1"	"5"
"B001GNZXR0"	"125.98"	"115.98"	"135.98"	"1"	"5"
"B001GPOMIY"	"122.02"	"112.02"	"132.02"	"1"	"5"
"B001GQ43UA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001GQ5SGS"	"49.99"	"39.99"	"59.99"	"0"	"5"
