sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship
"B001ABISWU"	"100.00"	"90.00"	"110.00"	"0"	"5"
"B001ABPBI4"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001B8OMCW"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001BC6YKG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001BDUBT0"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B001BHEFUM"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001IY9IPK"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001IYG5FQ"	"77.98"	"67.98"	"87.98"	"0"	"5"
"B001J2P2WE"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B001J4RP0E"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B001J5H92C"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B001JJCHPW"	"144.74"	"134.74"	"154.74"	"1"	"5"
"B001KW07O6"	"455.60"	"445.60"	"465.60"	"1"	"5"
"B001KZH7BE"	"858.00"	"848.00"	"868.00"	"1"	"5"
"B001L1EJH2"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B001LD9ZXS"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDA0VY"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDA0ZU"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDC2CO"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDC2GU"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDC2H4"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDC2JM"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDC2L0"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDC2O2"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDC37I"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDC3LE"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDDVRY"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDDVTW"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDDVWO"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDDVZG"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDDW0U"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDDW4G"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B001LDDW8W"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B001LDDWRI"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDF726"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B001LDF7VC"	"49.99"	"39.99"	"59.99"	"0"	"5"
