sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship
"B003CTWFWM"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B003CULQOE"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B003CVKWXY"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B003CYMZ7W"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B003D43WDW"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B003D5IV8W"	"79.98"	"69.98"	"89.98"	"1"	"5"
"B003D5MY4Y"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B003D93PKW"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B003DAP9WS"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B003DHVX8U"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B003DQRA92"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B003DQRFGU"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B003DQTIV0"	"89.90"	"79.90"	"99.90"	"1"	"5"
"B003DQTPPO"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B003DQU32I"	"190.54"	"180.54"	"200.54"	"0"	"5"
"B003DQVHLO"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B003DQVJ58"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B003DQVOI0"	"85.64"	"75.64"	"95.64"	"1"	"5"
"B003DQVW00"	"222.08"	"212.08"	"232.08"	"1"	"5"
"B003DQXM8K"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B003DQXUTG"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B003DQY3CO"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B003DQZK5I"	"69.99"	"59.99"	"79.99"	"0"	"5"
"B003DQZPP8"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B003DQZUL2"	"139.66"	"129.66"	"149.66"	"0"	"5"
"B003DR0QWY"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B003DR0STK"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B003DR2V0Y"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B003DR90AS"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B003DVO3HY"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B003DWIAB8"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B003E248BI"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B003E6OGAM"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B003EEX8BM"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B003ELH3S4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B003ELQWD6"	"194.76"	"184.76"	"204.76"	"1"	"5"
