sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship
"B0042L8F4G"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0043565B6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0043PYC3Y"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0043ZB0RU"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B0043ZB214"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0043ZEST2"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0044KQ3CG"	"112.58"	"102.58"	"122.58"	"1"	"5"
"B0044QUHGS"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B0045SWBUA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00467BHN2"	"83.98"	"73.98"	"93.98"	"1"	"5"
"B00468HMK8"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0046DHYJM"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00470RA66"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00479TEIY"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0047T4J20"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B0047ZAOB4"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B0048D3CXM"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B0048KFRD8"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B004941DUE"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0049HFDHU"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0049HSJ76"	"158.00"	"148.00"	"168.00"	"1"	"5"
"B0049OWV32"	"86.28"	"76.28"	"96.28"	"0"	"5"
"B004AF88K0"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B004AFBGPO"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B004AFHJOQ"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B004AFHVHG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B004B7P4KE"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B004BNROME"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B004BWCMNG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B004CDGG4U"	"119.98"	"109.98"	"129.98"	"1"	"5"
"B004CM1KJW"	"168.64"	"158.64"	"178.64"	"1"	"5"
"B004D7TF6G"	"277.96"	"267.96"	"287.96"	"0"	"5"
"B004E3B6MK"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B004E7TNNU"	"71.22"	"61.22"	"81.22"	"1"	"5"
"B004EFGBW8"	"446.38"	"436.38"	"456.38"	"1"	"5"
"B004FDKBPM"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B004FDKC9M"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B004HXCXWO"	"94.40"	"84.40"	"104.40"	"0"	"5"
"B004HYPWPS"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B004HYSPXY"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B004HYSSD6"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B004JCU4HO"	"59.99"	"49.99"	"69.99"	"1"	"5"
