sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship
"1603800859"	"117.98"	"107.98"	"127.98"	"0"	"5"
"B000000KRN"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000003UVD"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00000IZJL"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00000J6JO"	"99.90"	"89.90"	"109.90"	"1"	"5"
"B000052XSV"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B000056BMY"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00005BTJB"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000066SW0"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000067QWM"	"81.10"	"71.10"	"91.10"	"0"	"5"
"B00006ICAZ"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00006JHZ1"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00006JINY"	"104.90"	"94.90"	"114.90"	"0"	"5"
"B00006LI51"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00007LA02"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0000AXNJO"	"78.36"	"68.36"	"88.36"	"1"	"5"
"B0000AXOS1"	"80.94"	"70.94"	"90.94"	"1"	"5"
"B0000AXP5E"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0000AXR7M"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0000AXRBT"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0000AXTRU"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0000AXY9P"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0000AXYHK"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B0000AXZ4U"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0000AY0BU"	"49.99"	"39.99"	"59.99"	"1"	"5"
