sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship
"B000PD61YG"	"69.99"	"59.99"	"79.99"	"0"	"5"
"B000PECUJK"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000PGS24A"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000PHMNR6"	"178.28"	"168.28"	"188.28"	"1"	"5"
"B000PL4ZWI"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000PRQZEI"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000PW9U54"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000PWAQG6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000PWBF3O"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000PWD2BM"	"216.14"	"206.14"	"226.14"	"1"	"5"
"B000PWDCKS"	"179.90"	"169.90"	"189.90"	"1"	"5"
"B000PWDHDU"	"134.98"	"124.98"	"144.98"	"0"	"5"
"B000Q995KQ"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B000Q9F2US"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000Q9F7LM"	"183.56"	"173.56"	"193.56"	"1"	"5"
"B000QATN8E"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000QDEB4C"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000QE391W"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000QE4682"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B000QFBW38"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000QRHTUG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000QU672Y"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000R2YXMC"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000R7GA1Y"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000R9MX8G"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000R9T7GM"	"1011.80"	"1001.80"	"1021.80"	"1"	"5"
"B000RGSVRQ"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000RIJISK"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000RNEYBG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000RSCX96"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000RYBG0M"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000RYBGJS"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000RYTMYO"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000S0L5XI"	"601.62"	"591.62"	"611.62"	"1"	"5"
"B000S5DBKI"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000S5GKE2"	"69.99"	"59.99"	"79.99"	"1"	"5"
