sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship
"B00U14ZYFG"	"217.30"	"207.30"	"227.30"	"1"	"5"
"B00U33SVK0"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00U8PVN8K"	"337.06"	"327.06"	"347.06"	"1"	"5"
"B00UA55LDQ"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00UBUW4LM"	"113.08"	"103.08"	"123.08"	"1"	"5"
"B00UD12WO8"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00UL907D0"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00ULQPBT8"	"404.46"	"394.46"	"414.46"	"0"	"5"
"B00UMB5CTQ"	"439.90"	"429.90"	"449.90"	"1"	"5"
"B00UQWI2O8"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00UURDJ7E"	"96.92"	"86.92"	"106.92"	"1"	"5"
"B00V3KT5KW"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00V57T2CO"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00V8169OQ"	"157.18"	"147.18"	"167.18"	"1"	"5"
"B00VCS9KNW"	"150.44"	"140.44"	"160.44"	"1"	"5"
"B00VEPK97Y"	"180.00"	"170.00"	"190.00"	"1"	"5"
"B00VGOYX2U"	"115.94"	"105.94"	"125.94"	"1"	"5"
"B00W333V1C"	"106.00"	"96.00"	"116.00"	"1"	"5"
"B00W435BL4"	"115.76"	"105.76"	"125.76"	"1"	"5"
"B00W435C0Y"	"118.00"	"108.00"	"128.00"	"1"	"5"
"B00W435CPY"	"109.60"	"99.60"	"119.60"	"0"	"5"
"B00W8FYF56"	"159.98"	"149.98"	"169.98"	"0"	"5"
"B00W9NQEBU"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00WGYGZCK"	"129.18"	"119.18"	"139.18"	"1"	"5"
"B00WJ0Z10S"	"119.88"	"109.88"	"129.88"	"1"	"5"
"B00WJOLJW8"	"91.98"	"81.98"	"101.98"	"1"	"5"
"B00WSWSLHC"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00WTI2HV6"	"81.10"	"71.10"	"91.10"	"1"	"5"
"B00WXUWC6K"	"99.98"	"89.98"	"109.98"	"0"	"5"
"B00X0C1Y82"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00XJ4VRNI"	"79.98"	"69.98"	"89.98"	"1"	"5"
