sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship
"B002RT8Y7S"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002RT8Y82"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002S9U4NO"	"198.00"	"188.00"	"208.00"	"1"	"5"
"B002SALPGI"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002SCUUBW"	"499.80"	"489.80"	"509.80"	"0"	"5"
"B002SEZ5PG"	"74.00"	"64.00"	"84.00"	"0"	"5"
"B002SF3HB4"	"77.26"	"67.26"	"87.26"	"1"	"5"
"B002SG54Z0"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B002SKINOU"	"137.60"	"127.60"	"147.60"	"1"	"5"
"B002SQRU5W"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002SR3I84"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002SR5N14"	"146.82"	"136.82"	"156.82"	"1"	"5"
"B002SR99Z0"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002SR9B0I"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B002SR9BW6"	"211.64"	"201.64"	"221.64"	"1"	"5"
"B002SRAHC4"	"126.26"	"116.26"	"136.26"	"1"	"5"
"B002T26J8E"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002T3BQO0"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002T4S2PA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002T8EZWA"	"83.98"	"73.98"	"93.98"	"0"	"5"
"B002TD6H6C"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002TELU72"	"565.96"	"555.96"	"575.96"	"1"	"5"
"B002TGUKAI"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002TMDL8A"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002TMM3CK"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002TSBTDS"	"174.50"	"164.50"	"184.50"	"1"	"5"
"B002TSBTEC"	"219.98"	"209.98"	"229.98"	"1"	"5"
"B002TSBTEW"	"199.42"	"189.42"	"209.42"	"1"	"5"
"B002TSBTF6"	"168.42"	"158.42"	"178.42"	"1"	"5"
"B002TU52PW"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B002TUT3PC"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002TVHG3C"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B002TW8F04"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B002U21G4A"	"98.00"	"88.00"	"108.00"	"1"	"5"
"B002U5EIQK"	"252.16"	"242.16"	"262.16"	"1"	"5"
"B002UEF5D6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002UG2RP8"	"79.08"	"69.08"	"89.08"	"1"	"5"
"B002UNM65C"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B002UPZD3C"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002URM36A"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002USMBK2"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002USO5HE"	"49.99"	"39.99"	"59.99"	"1"	"5"
