sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship
"B006G3B5XQ"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006GDDDRC"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B006GDGIU6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006GU1B5Q"	"76.58"	"66.58"	"86.58"	"1"	"5"
"B006GXKURS"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B006J6R23M"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B006K2FRZK"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B006K5KJJ6"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B006L21PQY"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006LAOMOI"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B006LRW3ZQ"	"128.52"	"118.52"	"138.52"	"1"	"5"
"B006ND9ZOK"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006NRBT7M"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006OKAKC8"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006OO0CG8"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006PKVNB4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006Q54CW0"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006RHI1JM"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B006V2OPK2"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B006VDRQEI"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006VLYG98"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B006WELTO4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006WFMS7K"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006WMYMRW"	"69.99"	"59.99"	"79.99"	"0"	"5"
"B006WOR53I"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006WQXKTY"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006WS3BUU"	"81.34"	"71.34"	"91.34"	"1"	"5"
"B006WZ8WTI"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B006WZ9NMI"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B006X2IMGS"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B006X3E1U8"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006Z04XJI"	"100.00"	"90.00"	"110.00"	"0"	"5"
"B006ZG82SA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006ZTBVX0"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006ZUGF3U"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B006ZYQYNC"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0070QSTUA"	"156.02"	"146.02"	"166.02"	"1"	"5"
"B00714AJK4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0071K18UI"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0071P4M4C"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0071XPQQ2"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0072X51WA"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0072Z0YGG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0073FD66A"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0073I1ZW4"	"94.80"	"84.80"	"104.80"	"1"	"5"
"B0073I32J8"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0073SBABK"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0073SBGVE"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0073ZGJAA"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0074NDWT2"	"49.99"	"39.99"	"59.99"	"1"	"5"
