sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship
"B00NC6FRO8"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B00NDF0NN8"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00NF4HADI"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00NFU8LI0"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B00NGUJUSE"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00NI2ULJW"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B00NI9AAIC"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00NNOTPCE"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00NNOVWLQ"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00NNVHRQI"	"186.68"	"176.68"	"196.68"	"1"	"5"
"B00NW3EYYU"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B00O04WMGW"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B00O06PWEY"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B00O0HW9T4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00O1X862Q"	"259.82"	"249.82"	"269.82"	"1"	"5"
"B00O40HKYG"	"127.90"	"117.90"	"137.90"	"1"	"5"
"B00O5217UG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00O59VPI8"	"99.12"	"89.12"	"109.12"	"1"	"5"
"B00O5CBPDU"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00O630P3E"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00O68NG58"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00OBCWJN4"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00OBCXGIQ"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B00OD49YSI"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B00OE36KJO"	"107.76"	"97.76"	"117.76"	"1"	"5"
"B00OLITQAW"	"99.96"	"89.96"	"109.96"	"1"	"5"
