sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship
"B000674XNM"	"88.80"	"78.80"	"98.80"	"0"	"5"
"B000J3ZMQA"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B000LRFXL8"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B000NSW0EI"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000O2TBEK"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000O5UWTA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000O7C7GO"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000O9I2W0"	"80.58"	"70.58"	"90.58"	"0"	"5"
"B000OESOJG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000OUXSFA"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B000OYJ9AO"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000P20QTI"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000P22TIY"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000P251JS"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000P252A6"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000P255QM"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000P276OQ"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000P46MDK"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000PHRIYE"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000PI3BS0"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000Q7XDR4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000QE7DV4"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000QV8ATG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000QX88PA"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B000R80ZTQ"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B000R8QZE0"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B000R8Z852"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B000R92XHM"	"59.99"	"49.99"	"69.99"	"1"	"5"
