sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship
"9790798695"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B000001ZRZ"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B000052Y25"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B000052YDI"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000052YE4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000052YE5"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000052YMR"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0000532AG"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B000053676"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0000536P4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000056EYY"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00005JTW8"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00005KCN1"	"241.68"	"231.68"	"251.68"	"1"	"5"
"B00005NASR"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00005OAA6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000062R6J"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000066SYB"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000069A33"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00006IV46"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00006JT6O"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00008PRPK"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000092OX4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0000C4COL"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0000E3QL6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0000Y3FQC"	"80.16"	"70.16"	"90.16"	"1"	"5"
"B0000YV05A"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00011QUKW"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00012NJNC"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000132G6M"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B00013YZ0C"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B000141LB2"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000142OC2"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0001430N4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000143AY8"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00014DNAO"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00014EKWY"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00014IEW6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00015HBEM"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00015WRKK"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00015WRM8"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00015WV2O"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00016X9D8"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000172R6C"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000172SGG"	"69.99"	"59.99"	"79.99"	"0"	"5"
"B00017YKGW"	"167.98"	"157.98"	"177.98"	"0"	"5"
"B00019ODAS"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0001B52D8"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0001EKSZW"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0001EKTZQ"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B0001EL4P0"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B0001EL5JA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0001EL5Q8"	"92.00"	"82.00"	"102.00"	"1"	"5"
"B0001L3LXG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0001TQCSO"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00020QJEE"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B00020UQQQ"	"69.99"	"59.99"	"79.99"	"0"	"5"
"B000217M26"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00021DTJG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00021UR3C"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00021VTTI"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00022F1DW"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00023EP88"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00024DWO0"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B00025H3JY"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B00026S7VG"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B000273HTW"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00028QAVS"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00028QCBG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0002ASSVQ"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0002DO1RI"	"78.16"	"68.16"	"88.16"	"0"	"5"
"B0002DO1RS"	"76.00"	"66.00"	"86.00"	"1"	"5"
"B0002FCB6E"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0002JHI1I"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0002KS5FU"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0002L2JLU"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B0002PFHCO"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B0002SHTZE"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B0002SHUPI"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B0002X3SH2"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B0002X4F0Q"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B0002X8ZHA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0002X9038"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B0002Z8MLC"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0002Z8OQU"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00061MPFQ"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000630EB6"	"99.98"	"89.98"	"109.98"	"1"	"5"
"B00063KHH2"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00064H44K"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00065AS60"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B000666CB4"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00066N94M"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00066YC5W"	"92.16"	"82.16"	"102.16"	"0"	"5"
"B0006BE90K"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B0006G3X7K"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B0006G8D5C"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B0006GZAKI"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0006IC478"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B0006LNKYG"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B0006LUZQM"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0006NYV3S"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0006PJSKM"	"69.99"	"59.99"	"79.99"	"0"	"5"
"B0006PLP8U"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0006PLPBC"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0006SIPIK"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0006ZDYKC"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000774D2M"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00078Y3EY"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0007ACV0U"	"108.38"	"98.38"	"118.38"	"0"	"5"
"B0007CXWQU"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B0007KTJ8C"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B0007NO6W8"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0007P6GQK"	"71.50"	"61.50"	"81.50"	"0"	"5"
"B0007PAY0O"	"90.00"	"80.00"	"100.00"	"0"	"5"
"B0007UC7C2"	"71.54"	"61.54"	"81.54"	"1"	"5"
"B0007V8CAW"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B0007W5VNC"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0007Z8QVI"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00080AZQG"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00080DNUG"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B0008FUY0I"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00092M2WS"	"69.99"	"59.99"	"79.99"	"0"	"5"
"B00092M2XW"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00092M34U"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00094O6D4"	"70.00"	"60.00"	"80.00"	"0"	"5"
"B000980PNU"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0009ET76A"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0009MFUPO"	"69.99"	"59.99"	"79.99"	"0"	"5"
"B0009O4QZW"	"76.00"	"66.00"	"86.00"	"1"	"5"
"B0009OAGMO"	"89.64"	"79.64"	"99.64"	"0"	"5"
"B0009OAHNW"	"70.00"	"60.00"	"80.00"	"0"	"5"
"B0009OAHVO"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B0009OAI54"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0009OAI9K"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0009PVV4K"	"79.90"	"69.90"	"89.90"	"1"	"5"
"B0009Q658G"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B0009R5ARM"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0009RL86E"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B0009TNBVW"	"87.94"	"77.94"	"97.94"	"0"	"5"
"B0009VDBWY"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0009XH6NC"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B0009XH6NM"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0009YDO6O"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0009YDOGY"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B0009YDOIW"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0009YDOLO"	"72.84"	"62.84"	"82.84"	"1"	"5"
"B000A6TT74"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000AJ23EC"	"90.00"	"80.00"	"100.00"	"0"	"5"
"B000ALIK88"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B000AQI2EK"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B000ARDBH2"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000ASDX3S"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B001H963MW"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B002PYPHGQ"	"131.24"	"121.24"	"141.24"	"1"	"5"
"B002R2OLYA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B002WGV0YU"	"159.18"	"149.18"	"169.18"	"0"	"5"
"B0040QZU64"	"114.42"	"104.42"	"124.42"	"1"	"5"
"B004UQN03Y"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0068DFLKW"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B006FJPKT6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B006T8JGOI"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B007MJKHPA"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B007NYR022"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0082C5T40"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B008D5ZR5M"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B008GT66F0"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B009LH3LTA"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B009S7JAW0"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B009V0YT34"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B009XKTSAQ"	"69.99"	"59.99"	"79.99"	"0"	"5"
"B009XVXVD0"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B009YVIVBG"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B009YVYW6O"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B009Z5QVHW"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00A2F06Z2"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00A2YP5EU"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00A3CPEN8"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00A4BIZMA"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00AQXDAQW"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00B5A3YMK"	"70.96"	"60.96"	"80.96"	"1"	"5"
"B00BFW5HQO"	"49.99"	"39.99"	"59.99"	"1"	"5"
