sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship
"1402258585"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000006A6H"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00002ZZ2G"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000052YE4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000052YN7"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000052ZEU"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000052ZSS"	"69.99"	"59.99"	"79.99"	"0"	"5"
"B0000532AG"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000053676"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0000536A3"	"59.99"	"49.99"	"69.99"	"0"	"5"
"B0000536P7"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00005JTW8"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00005KCN1"	"228.64"	"218.64"	"238.64"	"1"	"5"
"B00005NQB6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00005OAA6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00005R1H2"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00005UN92"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000066SYB"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00006IV46"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000070IWK"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00008GFOH"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000092OX4"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0000C4COL"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0000Y3FQC"	"83.94"	"73.94"	"93.94"	"1"	"5"
"B0000YV05A"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B0000YV6CM"	"389.98"	"379.98"	"399.98"	"0"	"5"
"B00011K0LW"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B00011K2BA"	"76.24"	"66.24"	"86.24"	"1"	"5"
"B00011QTZI"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00011QUKW"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00011QUPW"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00012FJHQ"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000132G6M"	"69.99"	"59.99"	"79.99"	"1"	"5"
"B000141SMY"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000142OC2"	"49.99"	"39.99"	"59.99"	"0"	"5"
"B000142P12"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B000146M3O"	"59.99"	"49.99"	"69.99"	"1"	"5"
"B00014D5YI"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00014DSE0"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00014EKWY"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00014IEW6"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00016X9D8"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B00017YKGW"	"165.90"	"155.90"	"175.90"	"0"	"5"
"B00019ODAS"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0001AFIFQ"	"49.99"	"39.99"	"59.99"	"1"	"5"
"B0001EKT5G"	"59.99"	"49.99"	"69.99"	"0"	"5"
